Store ID,Country,Product ID,Product Category,Units Sold,Date of Sale,GDP Growth Rate,Inflation Rate,Price Sold
7217,UK,71849,Womens,7,8/19/2023,-3.26,3.55,66.41
1893,UK,34023,Womens,5,1/16/2024,2.34,9.31,146.48
6742,Italy,90342,Womens,7,3/28/2023,-1.86,3.4,82.21
7345,Italy,33999,Mens,9,5/10/2023,-4.15,-0.2,63.6
3224,Germany,91666,Womens,8,9/7/2023,9.68,7.64,51.59
1567,UK,79594,Mens,10,3/28/2023,-2.68,-1.11,23.49
6742,Italy,43942,Mens,13,2/27/2024,6.53,-4.83,31.62
5663,France,52901,Mens,8,9/26/2023,-4.76,1.35,27.38
7861,Germany,68746,Womens,7,2/16/2024,0.63,6.22,106.8
8754,UK,15662,Mens,8,5/2/2023,5.96,6.15,46.92
3062,Germany,56249,Womens,6,2/24/2024,-1.77,6.48,109.77
1858,Spain,25361,Mens,9,7/22/2023,-4.66,-0.25,20.34
3510,Spain,59348,Mens,10,4/30/2023,4.45,-0.1,82.27
7345,France,15930,Mens,11,7/1/2023,6.64,-0.5,48.16
5251,France,28005,Mens,11,7/18/2023,-1.23,-2.7,35.32
7273,Spain,36712,Mens,6,2/11/2024,-0.08,6.31,54.31
7217,France,70782,Mens,11,10/14/2023,6.35,-0.88,71.76
4055,France,69246,Womens,9,5/22/2023,0.97,1.84,87.86
1893,Germany,51994,Womens,12,8/2/2023,7.74,-2.28,4.83
7634,UK,99168,Mens,9,12/19/2023,1.38,1.89,53.12
9420,France,42247,Womens,7,4/1/2023,4.23,7.38,81.89
8210,Italy,44027,Mens,11,12/17/2023,-2.43,-4.37,66.66
8875,Germany,37947,Womens,6,6/5/2023,-4.45,5.11,39.29
7156,Spain,50055,Mens,13,9/26/2023,7.55,-4.09,31.26
1265,Germany,11553,Womens,5,9/24/2023,-1.24,9.32,72.81
3622,Spain,98061,Womens,10,4/21/2023,-0.89,-0.36,54.16
5251,UK,26569,Mens,6,6/8/2023,3.8,7.65,112.3
5346,Germany,79455,Mens,11,4/3/2023,0.93,-3.51,1.16
5719,Italy,61866,Womens,7,1/16/2024,3.21,6.84,90.1
9028,Italy,87150,Mens,7,10/15/2023,3.19,6.26,45.04
9070,Spain,33310,Womens,8,11/19/2023,-4.24,1.91,79.57
2296,Germany,62091,Womens,8,6/23/2023,-4.56,1.6,83.97
9600,UK,14929,Mens,7,12/6/2023,4.61,7.08,128.82
6748,France,89074,Womens,4,8/7/2023,-2.88,9.37,73.32
1565,Spain,49647,Mens,6,5/31/2023,4.03,7.76,88.04
5057,Italy,87073,Mens,11,10/9/2023,0.14,-2.92,9.87
7420,UK,17301,Mens,6,3/1/2024,-1.78,7.26,133.89
3224,Spain,83001,Womens,13,9/19/2023,4.62,-4.44,54.31
2037,Spain,19697,Mens,11,4/30/2023,9.06,1.17,100.22
6026,Spain,65053,Womens,13,11/17/2023,8.32,-3.6,4.63
5232,Italy,69542,Mens,9,12/31/2023,-1.01,1.01,18.81
3510,Italy,69988,Mens,9,1/5/2024,7.09,3.13,25.75
9167,Spain,88538,Mens,7,1/1/2024,3.72,6.55,54.03
2251,France,19786,Womens,9,7/8/2023,9.79,5.72,89.39
4836,France,89794,Mens,10,1/17/2024,-4.33,-3.5,16.58
3158,France,46343,Mens,7,6/15/2023,2.12,5.22,119.72
9170,France,93218,Mens,9,12/25/2023,-4.88,-0.33,72.26
5719,UK,97322,Womens,11,7/25/2023,9.21,0.3,72.4
4371,France,72372,Mens,11,2/12/2024,9.39,0.41,14.36
8693,Italy,30215,Mens,7,3/23/2023,-2.05,3.29,112.29
6075,Spain,13493,Womens,7,6/22/2023,1.31,5.93,117.02
8103,Spain,57695,Womens,8,5/9/2023,6.05,6.18,66.31
1518,Germany,70968,Womens,13,3/9/2023,8.65,-4.22,14.91
5854,France,41989,Mens,9,10/21/2023,-4.02,-0.08,86.33
8693,Spain,85124,Womens,11,12/16/2023,-1.3,-2.72,7.73
7423,Germany,27734,Mens,8,1/17/2024,5.15,4.22,45.88
1427,Italy,14368,Mens,11,3/31/2023,4.32,-1.2,77.08
9681,Spain,43668,Womens,6,2/7/2024,0.57,8.01,85.28
3510,Spain,87073,Mens,8,12/18/2023,9.73,7.33,62.93
1893,UK,13493,Womens,6,6/28/2023,5.45,9.28,85.77
5395,France,49946,Mens,11,9/2/2023,-4.7,-4.47,23.68
3673,UK,53098,Womens,8,3/23/2023,7.18,6.81,103.37
3158,UK,17407,Mens,6,9/16/2023,2.25,7.58,108.71
3247,France,84023,Mens,11,4/7/2023,-2.94,-4.44,67.16
2304,Germany,44196,Womens,13,7/17/2023,7.89,-4.44,75.13
3401,France,25044,Womens,11,11/23/2023,-0.18,-2.1,57.53
2460,Germany,42495,Womens,7,7/4/2023,0.69,4.82,76.85
1612,Germany,77641,Mens,12,6/8/2023,9.53,-1.98,82.82
8210,Germany,34155,Womens,10,2/23/2024,0.19,-0.68,30.97
9167,UK,50384,Womens,9,11/14/2023,-1.57,0.1,95.23
5983,Spain,30165,Womens,9,5/20/2023,-3.14,0.52,56.35
4971,France,79297,Mens,8,10/8/2023,-0.02,3.3,77.48
7420,Spain,74819,Womens,10,9/13/2023,4.05,1.45,55.11
2003,Germany,68602,Womens,6,6/15/2023,0.8,7.8,126.9
7345,France,21371,Womens,8,10/29/2023,5.68,6.03,103.23
5395,France,75355,Mens,7,11/18/2023,-4.57,2.46,109.6
5645,Germany,93430,Womens,12,4/25/2023,5.73,-2.03,84.11
8693,Spain,80584,Womens,13,8/30/2023,7.74,-3.21,41.49
5466,UK,39215,Mens,10,9/30/2023,1.9,0.1,19.85
1711,UK,59472,Womens,11,10/27/2023,9.2,0.4,98.83
1390,UK,50026,Womens,7,4/20/2023,8.35,8.08,129.13
1265,Spain,38047,Mens,7,1/25/2024,-1.2,3.91,78.8
6984,Italy,32524,Womens,11,5/24/2023,-4.46,-4.76,50.72
7423,France,45437,Womens,5,6/26/2023,-2.34,8.6,121.76
1971,France,45164,Womens,9,2/3/2024,-1.45,0.46,70.91
9432,France,90150,Mens,5,8/2/2023,1.78,9.08,117.15
5688,Germany,73366,Womens,5,5/30/2023,-4.62,7.07,84.1
8036,France,72532,Mens,11,11/12/2023,6.58,0.49,96.94
2304,UK,43226,Womens,10,2/12/2024,3.23,-0.4,21.84
5688,Germany,62405,Mens,8,4/30/2023,-4.0,1.31,95.56
2269,Germany,41537,Mens,10,9/6/2023,7.88,3.06,50.38
9432,France,25746,Mens,7,5/26/2023,9.35,7.93,59.08
9976,Germany,33825,Womens,8,9/10/2023,-3.83,1.55,90.07
9167,Germany,13523,Mens,4,12/3/2023,-4.44,9.73,107.7
1721,Italy,99789,Mens,12,8/11/2023,3.51,-2.73,42.17
5959,Italy,38068,Mens,6,6/6/2023,-0.89,7.13,76.69
7217,France,25585,Womens,10,1/12/2024,9.32,1.98,83.07
8432,Germany,33214,Womens,11,1/22/2024,8.67,-0.46,15.67
1233,Spain,72887,Womens,13,1/23/2024,6.19,-4.63,56.84
1269,Italy,96701,Mens,9,5/11/2023,1.4,0.77,88.88
7634,UK,63711,Womens,9,12/22/2023,-2.93,0.15,63.87
1294,Spain,39206,Womens,10,7/8/2023,5.79,0.62,28.12
1269,Germany,85124,Womens,7,11/28/2023,-1.7,4.71,48.58
4137,Germany,71111,Mens,11,5/6/2023,8.71,-0.43,19.68
5232,Spain,94570,Mens,5,6/20/2023,2.71,9.96,140.61
1565,France,78389,Mens,13,5/29/2023,8.28,-4.16,0.26
6871,Italy,36945,Mens,11,12/14/2023,-3.07,-3.64,19.16
9170,Italy,95910,Womens,8,2/2/2024,-2.02,2.56,55.33
2912,France,39420,Womens,12,4/22/2023,2.49,-4.68,37.06
9070,UK,91375,Mens,10,4/6/2023,8.47,1.73,27.88
4971,UK,68347,Womens,10,2/13/2024,4.28,1.01,83.81
6281,Italy,88855,Womens,10,11/4/2023,5.85,0.95,80.62
7951,France,56480,Mens,5,10/17/2023,-3.84,6.89,112.39
5251,Italy,88231,Womens,10,1/19/2024,-0.84,-1.12,20.87
5845,France,43984,Mens,11,3/19/2023,-1.94,-3.31,41.54
1567,Spain,78346,Mens,10,2/29/2024,2.65,0.14,36.63
3940,Germany,30215,Mens,9,10/19/2023,7.34,4.24,109.41
2085,France,49136,Womens,10,11/29/2023,8.69,1.65,94.0
2269,Germany,87810,Womens,5,5/20/2023,-1.58,7.93,100.62
5737,France,21198,Womens,11,5/8/2023,8.72,0.76,56.38
1134,Italy,35074,Mens,11,7/9/2023,-0.43,-2.59,86.13
9481,France,33240,Womens,12,3/14/2023,-0.14,-4.96,2.86
8998,UK,73531,Mens,6,7/28/2023,1.88,8.45,54.66
9481,Germany,96616,Mens,10,4/5/2023,1.09,-1.11,25.3
1294,Germany,20824,Mens,10,2/1/2024,-2.87,-1.64,1.86
3756,Italy,69387,Mens,9,1/29/2024,-4.22,-0.72,52.44
1817,Germany,86441,Womens,7,8/16/2023,4.79,6.02,81.11
2743,France,70808,Mens,10,11/3/2023,9.98,3.39,115.3
4137,Italy,83311,Mens,6,8/30/2023,5.45,9.82,78.95
6251,UK,22432,Mens,12,10/13/2023,8.49,-0.64,54.02
7420,France,33704,Womens,7,5/16/2023,8.29,7.9,102.37
2067,Spain,79483,Mens,4,7/20/2023,-2.69,9.8,125.26
7273,Italy,95354,Mens,11,4/13/2023,-0.99,-3.54,46.4
9719,UK,45874,Mens,7,8/31/2023,3.53,6.52,116.74
6871,Germany,47110,Mens,9,6/3/2023,2.17,1.59,37.55
1148,UK,40034,Womens,7,6/11/2023,-3.01,4.25,53.51
6281,Italy,72337,Womens,5,1/23/2024,3.87,9.94,134.76
5959,France,99228,Womens,7,9/21/2023,-0.48,4.75,44.2
8459,Spain,98088,Mens,11,8/9/2023,9.33,0.75,56.63
5688,Spain,91002,Womens,7,1/13/2024,2.56,5.48,96.32
1858,France,16025,Womens,7,3/7/2024,7.17,8.59,57.86
9742,France,38920,Mens,5,1/30/2024,-1.8,8.28,53.73
2676,France,97687,Mens,10,9/21/2023,9.4,2.93,92.07
8085,France,69536,Mens,8,5/11/2023,6.3,6.52,104.94
3224,Spain,27263,Womens,8,5/19/2023,2.1,2.96,77.74
8942,France,38974,Womens,13,6/8/2023,9.92,-2.68,45.38
5466,Italy,31672,Womens,10,3/21/2023,-3.42,-2.87,48.36
4055,UK,74405,Womens,11,12/4/2023,1.0,-2.43,40.98
1505,Italy,35787,Womens,5,8/23/2023,-2.52,8.5,67.32
8099,Germany,52910,Womens,7,7/20/2023,-3.32,3.88,63.0
6806,France,55987,Mens,8,1/18/2024,2.28,4.81,77.88
1346,Italy,54830,Womens,10,10/19/2023,3.18,-0.23,76.63
5346,France,64189,Womens,6,8/31/2023,3.93,8.74,57.34
2963,Italy,50827,Mens,7,9/30/2023,-4.05,4.05,102.08
5232,Germany,69542,Mens,10,4/8/2023,3.89,0.76,86.11
5983,UK,35241,Mens,10,7/11/2023,-1.58,-1.34,20.74
9976,Italy,26362,Mens,7,2/19/2024,7.21,8.18,99.1
3161,France,67409,Mens,14,7/5/2023,8.77,-4.51,54.09
2826,Spain,79263,Womens,7,5/22/2023,3.32,5.86,105.05
8372,UK,39676,Mens,7,1/27/2024,6.84,6.82,101.56
3631,France,33939,Womens,7,3/21/2023,4.69,6.54,105.77
8210,France,53161,Mens,7,10/17/2023,-1.48,5.09,93.64
9600,Italy,29564,Womens,6,2/10/2024,5.52,8.69,116.69
2912,Germany,62650,Womens,9,7/19/2023,4.78,2.29,71.66
7273,UK,39420,Womens,5,12/12/2023,-1.5,9.28,79.48
4836,Germany,43226,Womens,10,11/11/2023,5.01,1.07,21.42
5854,France,12454,Mens,6,5/4/2023,2.14,8.23,62.02
3224,Italy,71069,Mens,10,2/29/2024,-4.46,-3.17,2.11
9432,Germany,94396,Womens,12,10/13/2023,5.61,-2.9,61.57
2251,Germany,59437,Womens,10,6/4/2023,-4.76,-3.58,53.83
3224,Spain,41100,Womens,7,2/5/2024,6.02,7.74,107.81
7812,UK,93875,Womens,6,12/11/2023,9.68,10.0,120.55
3188,Spain,20393,Mens,11,4/12/2023,3.15,-1.9,35.09
2304,France,36332,Mens,11,2/19/2024,-0.33,-3.02,42.14
4343,UK,83875,Womens,10,9/7/2023,-1.44,-1.01,58.79
5983,Italy,33214,Womens,12,9/30/2023,8.84,-0.84,83.14
8998,UK,61120,Mens,7,8/28/2023,-1.08,5.45,86.9
7162,Spain,28562,Mens,11,9/3/2023,-0.74,-2.51,32.91
1649,UK,34475,Womens,13,9/6/2023,6.72,-4.44,60.67
6184,France,44665,Mens,5,9/21/2023,-4.36,7.12,52.29
5465,Spain,62071,Mens,9,6/1/2023,-1.29,1.39,23.25
9719,UK,30165,Womens,10,2/29/2024,-2.13,-2.83,31.19
3673,Italy,87476,Womens,8,7/20/2023,6.64,5.68,57.9
5465,UK,51311,Mens,7,8/6/2023,-0.61,4.65,122.34
5688,Italy,44685,Womens,6,6/19/2023,-3.89,5.27,61.95
9481,UK,33385,Womens,11,5/10/2023,4.36,-1.31,81.75
1971,UK,28484,Womens,5,5/12/2023,0.42,9.6,146.67
2251,France,11167,Mens,11,1/27/2024,4.56,-1.33,76.13
2527,Italy,39326,Womens,6,6/6/2023,-3.03,5.44,117.58
7156,France,83627,Womens,8,5/22/2023,0.59,3.23,47.99
6184,Spain,29001,Womens,9,7/9/2023,0.94,2.09,60.87
4343,Spain,90835,Mens,7,4/4/2023,-2.33,3.32,95.95
9738,Spain,36443,Mens,7,5/29/2023,6.44,6.69,79.92
2963,UK,62453,Womens,7,7/14/2023,6.15,7.12,73.37
5275,Spain,26569,Mens,7,1/25/2024,7.11,7.94,71.62
6389,UK,77145,Womens,13,6/6/2023,8.06,-4.67,-3.47
5931,Italy,61293,Womens,4,10/6/2023,-3.78,8.83,122.52
5085,Italy,91366,Womens,8,2/9/2024,-0.92,1.88,81.25
1852,France,33920,Womens,9,10/17/2023,-3.24,0.05,53.27
3188,Spain,42960,Mens,8,3/28/2023,3.85,4.46,102.85
9719,Spain,90495,Mens,5,10/19/2023,-4.38,7.81,112.0
2269,Italy,70386,Womens,9,4/1/2023,6.92,4.43,58.44
2300,Spain,22090,Womens,5,7/19/2023,-0.59,7.92,65.31
1649,Germany,71012,Mens,11,7/12/2023,8.46,0.12,28.72
9742,Italy,48372,Mens,7,9/3/2023,0.09,4.49,59.48
8459,Spain,19763,Mens,11,5/18/2023,-1.73,-4.21,12.78
7031,UK,40332,Mens,10,4/22/2023,3.18,0.44,27.1
1852,UK,92310,Womens,12,8/7/2023,6.83,-2.48,22.01
3062,Germany,87742,Mens,13,7/26/2023,3.27,-4.84,0.0
8609,Spain,90895,Womens,12,8/31/2023,3.08,-4.4,68.48
3728,Italy,75186,Womens,13,1/8/2024,6.85,-3.36,42.4
3909,Germany,40332,Mens,7,9/10/2023,8.98,7.62,121.7
5837,UK,75027,Mens,11,4/28/2023,-2.88,-3.97,40.0
8733,Italy,43919,Womens,12,8/5/2023,9.39,-0.82,58.36
2185,France,56879,Womens,6,1/26/2024,-4.57,4.45,111.28
1390,Germany,97441,Womens,4,8/24/2023,-4.12,8.71,63.92
3224,Italy,64326,Womens,11,2/24/2024,8.31,-0.43,86.51
1294,France,83884,Mens,9,12/2/2023,9.01,4.26,108.57
2743,UK,43804,Womens,10,6/28/2023,9.03,2.38,86.18
2377,Germany,16332,Womens,8,8/16/2023,6.86,5.65,103.5
1148,France,24458,Womens,11,8/9/2023,2.18,-1.62,61.4
5295,UK,54482,Womens,10,11/11/2023,-4.85,-2.76,25.14
7861,Germany,38185,Mens,8,7/24/2023,2.74,4.77,103.78
2300,UK,80362,Womens,9,8/5/2023,-0.63,1.69,99.51
7634,UK,16991,Womens,11,9/11/2023,8.16,0.72,83.24
3631,Spain,83001,Womens,6,7/21/2023,-0.59,5.93,47.81
2720,Italy,53586,Mens,11,12/31/2023,4.6,-0.17,18.42
2302,Germany,32011,Womens,9,5/28/2023,3.05,2.58,72.33
7861,UK,31162,Mens,7,2/1/2024,2.76,5.91,105.39
9420,Spain,80002,Mens,12,12/21/2023,4.89,-3.75,16.05
3247,Italy,75274,Mens,6,8/20/2023,-1.02,6.5,130.17
2996,France,90172,Womens,13,7/15/2023,7.81,-4.29,15.66
2269,Germany,82311,Womens,11,3/14/2023,-0.44,-3.16,48.85
9170,UK,75186,Womens,7,6/6/2023,-1.9,3.97,113.04
7217,Germany,19020,Mens,5,11/1/2023,0.1,8.25,121.1
5845,Italy,33724,Mens,10,4/5/2023,0.81,-0.73,84.37
4866,Italy,34949,Mens,5,1/19/2024,-4.65,7.64,72.21
9167,Germany,26569,Mens,13,7/16/2023,3.51,-5.0,31.54
7423,Spain,49014,Womens,12,9/11/2023,0.2,-4.25,-7.1
2489,Germany,72662,Womens,7,12/8/2023,5.86,7.13,64.87
2743,UK,11268,Womens,7,12/8/2023,-0.15,4.19,93.29
1427,Italy,89109,Womens,6,3/15/2023,-2.15,5.48,66.87
2377,UK,48183,Mens,8,1/12/2024,7.26,5.78,126.11
1852,UK,22795,Mens,9,6/11/2023,9.09,5.52,48.48
7951,France,60409,Mens,9,9/12/2023,6.23,3.24,65.16
5656,UK,32470,Mens,8,1/17/2024,3.59,5.28,41.3
3705,Spain,88257,Womens,5,8/31/2023,-1.63,8.9,90.49
3510,Italy,50514,Mens,10,4/18/2023,-2.91,-2.13,71.26
5845,Italy,98685,Mens,11,6/12/2023,6.51,-1.14,28.74
8600,France,17025,Womens,8,2/15/2024,5.39,5.56,119.03
4027,Spain,99260,Womens,11,10/1/2023,6.4,-0.97,83.73
2269,Spain,99228,Womens,9,4/19/2023,9.64,4.48,84.29
1294,Spain,42082,Mens,9,1/4/2024,0.93,1.91,41.89
1662,Spain,93395,Mens,9,11/18/2023,2.87,1.37,77.14
9681,Spain,86441,Womens,13,8/25/2023,8.55,-3.61,11.5
4866,UK,41289,Mens,7,12/7/2023,8.45,8.9,115.72
1249,Germany,95131,Womens,8,10/12/2023,-1.37,2.48,62.41
6613,Italy,86054,Mens,8,9/28/2023,8.38,6.73,131.91
3728,Italy,30916,Mens,6,6/24/2023,6.18,9.17,140.02
8459,UK,79389,Mens,9,8/11/2023,5.33,2.8,75.35
5764,Italy,63438,Mens,7,4/9/2023,8.5,8.14,80.66
4836,UK,80283,Mens,9,12/30/2023,8.04,4.83,113.23
7951,Italy,29524,Mens,7,3/18/2023,0.95,6.1,91.16
8998,Germany,58466,Womens,7,10/5/2023,7.16,7.75,71.13
2003,UK,26890,Womens,12,3/11/2023,8.46,-2.49,69.78
3909,Spain,11583,Womens,11,7/2/2023,8.41,0.35,80.98
5645,France,90835,Mens,4,8/16/2023,-0.7,10.0,134.49
1034,UK,32774,Mens,10,5/26/2023,-4.79,-2.62,50.81
6806,Germany,11223,Mens,6,2/28/2024,7.61,9.59,134.58
7346,Spain,94992,Mens,12,2/18/2024,0.66,-4.24,43.78
1150,UK,27748,Mens,8,4/19/2023,5.78,4.79,39.48
3631,Germany,21985,Mens,12,3/3/2024,2.38,-4.49,-3.6
7634,Italy,26609,Womens,12,4/1/2023,4.26,-3.67,-6.88
7346,France,71022,Womens,12,1/2/2024,5.22,-3.82,-7.03
6742,Italy,42960,Mens,7,11/13/2023,5.69,7.25,64.36
1233,Italy,75274,Mens,10,4/8/2023,6.21,1.59,92.56
8600,Spain,91002,Womens,9,5/8/2023,3.56,1.62,96.32
2251,Spain,78566,Womens,7,9/30/2023,2.13,4.98,85.72
9976,France,26569,Mens,8,12/17/2023,-1.84,2.52,41.3
8432,Spain,49595,Mens,8,8/14/2023,0.24,2.17,104.61
7958,UK,12207,Mens,10,2/7/2024,-4.59,-3.4,32.2
1148,UK,20829,Womens,12,8/30/2023,9.29,-1.03,18.75
9738,Germany,12570,Womens,4,4/4/2023,-4.44,8.9,127.68
1505,UK,38036,Womens,7,2/4/2024,-0.94,4.7,113.74
4836,France,74959,Womens,10,11/8/2023,5.1,1.32,19.94
5737,UK,74003,Womens,11,1/26/2024,4.29,-1.98,28.41
9600,Germany,67786,Womens,13,11/19/2023,6.71,-4.34,10.31
5663,Spain,90575,Womens,8,6/27/2023,4.77,4.84,46.75
5737,Italy,40294,Womens,6,10/12/2023,6.62,9.58,68.44
5346,Germany,88877,Mens,7,11/2/2023,4.24,6.82,94.98
7162,UK,73551,Womens,10,10/5/2023,0.34,-0.47,85.93
2003,Spain,82309,Womens,8,11/2/2023,6.27,6.48,131.98
5085,France,93642,Womens,8,3/4/2024,9.08,6.86,58.83
4866,Italy,70419,Mens,7,3/25/2023,-3.69,3.52,68.46
4836,Spain,88845,Mens,11,6/8/2023,-4.32,-4.87,68.2
8210,UK,15718,Womens,7,1/5/2024,5.56,7.53,87.01
9481,Italy,99999,Womens,11,1/4/2024,1.99,-3.09,57.74
3851,France,96796,Mens,10,7/24/2023,-0.8,-1.67,2.93
2963,UK,53639,Womens,11,6/28/2023,9.66,0.5,43.0
9481,Germany,46651,Womens,6,7/20/2023,6.15,9.36,100.13
8942,France,62419,Mens,9,3/8/2023,4.5,2.45,69.3
6184,UK,89250,Womens,10,1/13/2024,-2.02,-1.03,84.4
1893,Italy,53193,Womens,8,7/22/2023,8.51,7.11,84.4
3773,UK,50629,Mens,9,5/22/2023,2.71,1.29,81.67
7951,UK,95312,Womens,6,4/13/2023,5.83,9.48,123.15
8210,Italy,48004,Womens,7,8/25/2023,5.21,7.08,85.37
1817,UK,29538,Mens,12,11/18/2023,6.85,-2.77,31.8
3217,Spain,67358,Womens,8,6/27/2023,2.72,3.47,108.16
9742,Spain,82217,Mens,12,1/20/2024,7.47,-2.13,33.44
5645,UK,74377,Mens,12,1/4/2024,7.81,-1.07,70.24
3622,Spain,34558,Womens,9,10/20/2023,-1.02,0.9,82.62
